rep,n,thr,method,f1
8,10,0.2,Cal,0.7101024890190336
8,10,0.2,mCal,0.7223088923556942
8,10,0.2,Flex,0.7008166295471417
8,10,0.5,Cal,0.8149210903873745
8,10,0.5,mCal,0.8202898550724638
8,10,0.5,Flex,0.7906976744186046
8,10,0.8,Cal,0.8240343347639485
8,10,0.8,mCal,0.8240343347639485
8,10,0.8,Flex,0.8137651821862347
8,25,0.2,Cal,0.8071161048689138
8,25,0.2,mCal,0.8057142857142857
8,25,0.2,Flex,0.8028673835125449
8,25,0.5,Cal,0.8995057660626029
8,25,0.5,mCal,0.8973509933774835
8,25,0.5,Flex,0.898876404494382
8,25,0.8,Cal,0.9044943820224719
8,25,0.8,mCal,0.9044943820224719
8,25,0.8,Flex,0.893048128342246
9,5,0.2,Cal,0.5873297809354647
9,5,0.2,mCal,0.6323319027181689
9,5,0.2,Flex,0.5830797321972001
9,5,0.5,Cal,0.6588735387885228
9,5,0.5,mCal,0.6703056768558951
9,5,0.5,Flex,0.643821391484943
9,5,0.8,Cal,0.656298600311042
9,5,0.8,mCal,0.6677215189873419
9,5,0.8,Flex,0.6542635658914729
9,10,0.2,Cal,0.6811377245508983
9,10,0.2,mCal,0.7034035656401946
9,10,0.2,Flex,0.6697038724373576
9,10,0.5,Cal,0.8221225710014948
9,10,0.5,mCal,0.8258258258258258
9,10,0.5,Flex,0.804564907275321
9,10,0.8,Cal,0.784503631961259
9,10,0.8,mCal,0.784503631961259
9,10,0.8,Flex,0.778523489932886
9,25,0.2,Cal,0.801505174035748
9,25,0.2,mCal,0.8007699711260827
9,25,0.2,Flex,0.7996373526745241
9,25,0.5,Cal,0.885981308411215
9,25,0.5,mCal,0.8855534709193246
9,25,0.5,Flex,0.8765652951699465
9,25,0.8,Cal,0.888888888888889
9,25,0.8,mCal,0.888888888888889
9,25,0.8,Flex,0.8982035928143712
10,5,0.2,Cal,0.6012068019747668
10,5,0.2,mCal,0.6359447004608295
10,5,0.2,Flex,0.6055461233729486
