rep,n,bin,method,bias,variance,rmse,binlabel
9,25,1,Samp,0.020123516396747396,0.00809841728837587,0.09221373650680267,1000-10000
9,25,2,Samp,0.034977745607449824,0.007686359886686507,0.09439175056362702,10000-100000
9,25,3,Samp,0.0388862300657659,0.005284142510395742,0.0824395620992944,100000-1000000
10,5,0,Samp,0.13547904277005404,0.07031318542474797,0.29777131570156,0-1000
10,5,1,Samp,0.16748723154609965,0.07070277910980274,0.31425268788155103,1000-10000
10,5,2,Samp,0.18820006355668983,0.06009770064842266,0.3090581896199561,10000-100000
10,5,3,Samp,0.24732904527649627,0.07165234574992536,0.3644502742313532,100000-1000000
10,10,0,Samp,0.043041805496606626,0.027003912563854655,0.1698720388535511,0-1000
10,10,1,Samp,0.05062647678785606,0.026513739726177113,0.17051914812750046,1000-10000
10,10,2,Samp,0.08870200610310722,0.0248190142672238,0.18079563090390063,10000-100000
10,10,3,Samp,0.09476453546216129,0.020743941435172334,0.1724072464153742,100000-1000000
10,25,0,Samp,0.01533036999149213,0.008536670972534298,0.09365730733162438,0-1000
10,25,1,Samp,0.025229863435233132,0.006425425477777936,0.08403553704676642,1000-10000
10,25,2,Samp,0.02844585087630812,0.004997212637393406,0.07619960019232756,10000-100000
10,25,3,Samp,0.029611782619889483,0.00461875124401974,0.0741323742635249,100000-1000000
11,5,0,Samp,0.11139959869289445,0.07926913790767011,0.30278541658509256,0-1000
11,5,1,Samp,0.16557923456492496,0.076381019572811,0.3221761978978544,1000-10000
11,5,2,Samp,0.19101940961997904,0.06763638000127555,0.3226837381289006,10000-100000
11,5,3,Samp,0.2381009242474127,0.06229363491965817,0.34494301710156466,100000-1000000
11,10,0,Samp,0.0673890482209987,0.02871132887330797,0.1823529892637904,0-1000
11,10,1,Samp,0.07285050889621868,0.029967196971195875,0.1878147854074165,1000-10000
11,10,2,Samp,0.09425263104377432,0.028264293470795683,0.19273778023384397,10000-100000
11,10,3,Samp,0.11639864400267623,0.03117724353640026,0.21148495894994995,100000-1000000
11,25,0,Samp,0.027299066032744658,0.007413922417031688,0.09032807660573672,0-1000
