rep,n,thr,method,f1
21,5,0.2,Cal,0.6965317919075146
21,5,0.2,mCal,0.7157980456026058
21,5,0.2,Flex,0.6955882352941176
21,5,0.5,Cal,0.7659817351598175
21,5,0.5,mCal,0.7713950762016412
21,5,0.5,Flex,0.756179775280899
21,5,0.8,Cal,0.7757085020242915
21,5,0.8,mCal,0.788477366255144
21,5,0.8,Flex,0.7757085020242915
21,10,0.2,Cal,0.773746432939258
21,10,0.2,mCal,0.7768313458262353
21,10,0.2,Flex,0.7669784465229769
21,10,0.5,Cal,0.8646723646723645
21,10,0.5,mCal,0.8680057388809181
21,10,0.5,Flex,0.8501362397820164
21,10,0.8,Cal,0.8491379310344827
21,10,0.8,mCal,0.8491379310344827
21,10,0.8,Flex,0.841683366733467
21,25,0.2,Cal,0.8943572337717437
21,25,0.2,mCal,0.889079965606191
21,25,0.2,Flex,0.888610763454318
21,25,0.5,Cal,0.9045584045584045
21,25,0.5,mCal,0.9036402569593147
21,25,0.5,Flex,0.8973121984838042
21,25,0.8,Cal,0.9129943502824859
21,25,0.8,mCal,0.9129943502824859
21,25,0.8,Flex,0.9059080962800875
22,5,0.2,Cal,0.6862271315153607
22,5,0.2,mCal,0.7008945935433682
22,5,0.2,Flex,0.685754189944134
22,5,0.5,Cal,0.7597330367074526
22,5,0.5,mCal,0.7615780445969126
22,5,0.5,Flex,0.7430744160782183
22,5,0.8,Cal,0.7679259830377794
22,5,0.8,mCal,0.7781250000000001
22,5,0.8,Flex,0.7667436489607391
22,10,0.2,Cal,0.7996755879967559
22,10,0.2,mCal,0.7939824488090262
22,10,0.2,Flex,0.7788461538461539
22,10,0.5,Cal,0.8403122782114976
22,10,0.5,mCal,0.8432355046528276
22,10,0.5,Flex,0.8150638870208474
22,10,0.8,Cal,0.8762109795479008
22,10,0.8,mCal,0.8762109795479008
22,10,0.8,Flex,0.8546341463414634
22,25,0.2,Cal,0.8735433750539491
22,25,0.2,mCal,0.8728702490170381
22,25,0.2,Flex,0.8704487722269263
22,25,0.5,Cal,0.9160530191458026
22,25,0.5,mCal,0.912850812407681
22,25,0.5,Flex,0.9124820659971307
22,25,0.8,Cal,0.919952210274791
22,25,0.8,mCal,0.919952210274791
22,25,0.8,Flex,0.9166666666666667
23,5,0.2,Cal,0.6790490341753342
23,5,0.2,mCal,0.6985324947589098
23,5,0.2,Flex,0.676737160120846
23,5,0.5,Cal,0.7455621301775147
23,5,0.5,mCal,0.7507617306520414
23,5,0.5,Flex,0.7290583477758521
23,5,0.8,Cal,0.7754415475189235
23,5,0.8,mCal,0.7893835616438356
23,5,0.8,Flex,0.7741393786733838
23,10,0.2,Cal,0.7846153846153846
23,10,0.2,mCal,0.7878532264867145
23,10,0.2,Flex,0.77140549273021
23,10,0.5,Cal,0.8592896174863389
23,10,0.5,mCal,0.8618556701030928
23,10,0.5,Flex,0.8479262672811061
23,10,0.8,Cal,0.8849740932642487
23,10,0.8,mCal,0.8849740932642487
23,10,0.8,Flex,0.8709677419354838
23,25,0.2,Cal,0.8557817236899091
23,25,0.2,mCal,0.8590250329380764
23,25,0.2,Flex,0.8581138487680544
23,25,0.5,Cal,0.9080206033848419
23,25,0.5,mCal,0.9084194977843426
23,25,0.5,Flex,0.9110473457675754
23,25,0.8,Cal,0.8986175115207374
23,25,0.8,mCal,0.8986175115207374
23,25,0.8,Flex,0.9098998887652947
24,5,0.2,Cal,0.7053380782918149
24,5,0.2,mCal,0.7067424857839155
24,5,0.2,Flex,0.707492795389049
24,5,0.5,Cal,0.7382702091577161
24,5,0.5,mCal,0.7482758620689656
24,5,0.5,Flex,0.725152692948362
24,5,0.8,Cal,0.7600644122383253
24,5,0.8,mCal,0.769356153219234
24,5,0.8,Flex,0.7594529364440867
24,10,0.2,Cal,0.7803443931121378
24,10,0.2,mCal,0.7795722391968574
24,10,0.2,Flex,0.7696817420435511
24,10,0.5,Cal,0.8539985326485694
24,10,0.5,mCal,0.8552437223042836
24,10,0.5,Flex,0.8296089385474861
24,10,0.8,Cal,0.8596112311015119
24,10,0.8,mCal,0.8596112311015119
24,10,0.8,Flex,0.8464646464646465
24,25,0.2,Cal,0.8727583262169086
24,25,0.2,mCal,0.8725532840365378
24,25,0.2,Flex,0.8733221476510068
