rep,n,bin,method,bias,variance,rmse,binlabel,pop
63,25,2,Rag,-0.0037764554022472934,0.01712208499045395,0.1309058692567263,10000-100000,CEU
63,25,2,Supp,0.34300096870506785,48.530980930107724,6.974857030408605,10000-100000,CEU
63,25,2,Cal,0.002203180044974504,0.005964306554341035,0.07726034271637429,10000-100000,CEU
63,25,2,mCal,-0.015485235337512266,0.006183952742827108,0.08014827045099131,10000-100000,CEU
63,25,2,Flex,-0.004902203771962831,0.0068845334035308155,0.08311777791394968,10000-100000,CEU
63,25,3,Samp,0.03869127312876439,0.0037216041335481646,0.07224000795869841,100000-1000000,CEU
63,25,3,BS,-0.0026150709240868363,0.004068303346377524,0.06383683844235653,100000-1000000,CEU
63,25,3,Rag,-0.004143978691383417,0.004324019788457058,0.06588772532006017,100000-1000000,CEU
63,25,3,Supp,0.020773938609271233,5.4943345376621275,2.3440917418453293,100000-1000000,CEU
63,25,3,Cal,0.017003887683842856,0.0027623066546039214,0.055239830294531715,100000-1000000,CEU
63,25,3,mCal,-0.0021297663175140146,0.002892413127179676,0.053823313087795824,100000-1000000,CEU
63,25,3,Flex,0.005285506930833415,0.003439100143198549,0.05888154827035747,100000-1000000,CEU
64,5,0,Samp,0.10017792092015247,0.06038333251546,0.26536568797669435,0-1000,CEU
64,5,0,BS,-0.036500526500482466,0.0949957230234598,0.31036754253348114,0-1000,CEU
64,5,0,Rag,-0.06325919192708103,0.2731005315775093,0.5264050312646874,0-1000,CEU
64,5,0,Supp,0.09003551297827327,0.9089424816162539,0.9576266888581974,0-1000,CEU
64,5,0,Cal,-0.01725433367349063,0.04919645345141271,0.22247284212219895,0-1000,CEU
64,5,0,mCal,-0.07536511939675782,0.06117090747068082,0.258555233349411,0-1000,CEU
64,5,0,Flex,-0.05434296213343438,0.07307281508686787,0.27572807731586524,0-1000,CEU
64,5,1,Samp,0.1605864495855103,0.07456884591787508,0.31679149879432483,1000-10000,CEU
64,5,1,BS,-0.008822729363847207,0.12321232257344124,0.3511269900290619,1000-10000,CEU
64,5,1,Rag,-0.004444195211300491,0.24846280673630933,0.49848024796112583,1000-10000,CEU
64,5,1,Supp,0.12232565668238903,0.9597776221212782,0.9872898198624637,1000-10000,CEU
64,5,1,Cal,0.02603820661474456,0.06543855912359037,0.2571313814517833,1000-10000,CEU
64,5,1,mCal,-0.0454348952880567,0.07973121873143768,0.2859992105605789,1000-10000,CEU
64,5,1,Flex,-0.026623217860656124,0.09424461523025411,0.3081451134766055,1000-10000,CEU
64,5,2,Samp,0.20930949644747088,0.06894030729596613,0.3357838182507608,10000-100000,CEU
64,5,2,BS,-0.020193692328039345,0.11935519025325697,0.34606787695927005,10000-100000,CEU
64,5,2,Rag,-0.005157575741269763,0.1442006309653958,0.37977260505850435,10000-100000,CEU
64,5,2,Supp,0.07136253988920717,0.8290197178284624,0.9132975035156403,10000-100000,CEU
64,5,2,Cal,0.06345954096889635,0.04827761636648069,0.22870227306798618,10000-100000,CEU
64,5,2,mCal,-0.03087407324384668,0.058479750704251564,0.24378875918080795,10000-100000,CEU
64,5,2,Flex,-0.01822919888273242,0.07653658662080513,0.2772523946023034,10000-100000,CEU
64,5,3,Samp,0.24837304540999616,0.06515757970733262,0.3561555129344043,100000-1000000,CEU
64,5,3,BS,0.0015711569462773332,0.1153991739455519,0.33970817252415597,100000-1000000,CEU
64,5,3,Rag,0.006572093076773099,0.10573842928853984,0.32524086719837286,100000-1000000,CEU
64,5,3,Supp,0.1270963805132143,0.9160160741019463,0.9654892873779108,100000-1000000,CEU
64,5,3,Cal,0.10058790730408236,0.041191612816022884,0.22651609194897732,100000-1000000,CEU
64,5,3,mCal,-7.818314156694273e-05,0.050629328938891646,0.22500963324154652,100000-1000000,CEU
64,5,3,Flex,0.007042046010713893,0.06934681181804242,0.26343196888392156,100000-1000000,CEU
64,10,0,Samp,0.038304325228693016,0.027852399573167763,0.17122973136810457,0-1000,CEU
64,10,0,BS,-0.02475938613181316,0.03300510131041632,0.18335247070067134,0-1000,CEU
64,10,0,Rag,0.00152571277889359,0.1882394398845081,0.43386837598976,0-1000,CEU
64,10,0,Supp,-0.19631004874344035,3.058189363683957,1.7597519708531681,0-1000,CEU
64,10,0,Cal,-0.024291425194777644,0.025994784471091065,0.16304863633003663,0-1000,CEU
64,10,0,mCal,-0.05070098216979551,0.02822118839192408,0.17547586154484612,0-1000,CEU
64,10,0,Flex,-0.022812938792360876,0.03298567991604602,0.18304674291663872,0-1000,CEU
64,10,1,Samp,0.04789697722399047,0.03313401082642526,0.1882236203392675,1000-10000,CEU
64,10,1,BS,-0.03513597254681564,0.040591618251205344,0.20451443669828281,1000-10000,CEU
64,10,1,Rag,-0.021556931269926704,0.11067735649726936,0.3333797501094596,1000-10000,CEU
64,10,1,Supp,-0.12426537534113179,2.5817895441453502,1.6115928231578913,1000-10000,CEU
64,10,1,Cal,-0.021541399029578235,0.03003698812983925,0.17464541219851945,1000-10000,CEU
