rep,n,method,rmse
31,25,mCal,7.552926896981609
31,25,Flex,8.075011222179464
32,5,BS,28.628607027120758
32,5,Rag,54.458370074461875
32,5,Supp,472.5301358061943
32,5,Cal,99.55152570550162
32,5,mCal,21.709519364370085
32,5,Flex,26.55259156587483
32,10,BS,15.223508073885741
32,10,Rag,17.2901615621277
32,10,Supp,420.33693324528537
32,10,Cal,47.076183660180924
32,10,mCal,11.83865299419847
32,10,Flex,16.018518665090085
32,25,BS,8.004324854300313
32,25,Rag,8.157067721997892
32,25,Supp,1906.9943560402269
32,25,Cal,18.982483509899314
32,25,mCal,7.4807854666303735
32,25,Flex,8.049567774687475
33,5,BS,29.29458612422236
33,5,Rag,48.72186019878588
33,5,Supp,462.74708598357745
33,5,Cal,98.5729751901106
33,5,mCal,21.76764939674009
33,5,Flex,26.600806256178178
33,10,BS,16.53098942635791
33,10,Rag,17.590994706403958
33,10,Supp,439.04485538553234
33,10,Cal,48.15517532731532
33,10,mCal,12.658997697699228
33,10,Flex,17.055792067034083
33,25,BS,7.792664632081886
33,25,Rag,8.457704378375093
33,25,Supp,4566.555906846986
33,25,Cal,18.908829355926002
33,25,mCal,7.425074548774754
33,25,Flex,8.057111209434737
34,5,BS,26.799954176671015
34,5,Rag,48.19021231726662
34,5,Supp,463.89459846913087
34,5,Cal,97.17465192452526
34,5,mCal,19.938725972088864
34,5,Flex,26.042945227754718
34,10,BS,15.862147925848637
34,10,Rag,16.682952146398197
34,10,Supp,424.23974245331885
34,10,Cal,47.569757675470214
34,10,mCal,11.92065322422467
34,10,Flex,16.232545194025537
34,25,BS,8.188538032932758
34,25,Rag,8.39986090691933
34,25,Supp,5989.7907528503665
34,25,Cal,18.95594524931055
34,25,mCal,7.508106107054862
34,25,Flex,7.662036528545418
35,5,BS,29.891547459400744
35,5,Rag,47.05759271811007
35,5,Supp,456.38001600558295
35,5,Cal,96.75365516425545
35,5,mCal,20.030876204274126
35,5,Flex,26.261623855912916
35,10,BS,15.184511975302229
35,10,Rag,16.745753861787982
35,10,Supp,419.33631688601054
35,10,Cal,47.28060291559476
35,10,mCal,11.825642206889514
35,10,Flex,16.604408333887925
35,25,BS,7.996027748446411
35,25,Rag,8.454137702848852
35,25,Supp,9662.80841559577
35,25,Cal,19.430457961947674
35,25,mCal,7.477164650633141
35,25,Flex,8.42111371102316
36,5,BS,28.222041577569733
36,5,Rag,50.75264261275964
36,5,Supp,473.7906601211237
36,5,Cal,99.24218973510214
36,5,mCal,20.71784772679313
36,5,Flex,26.69973774354138
36,10,BS,15.57756427428786
36,10,Rag,17.739800499733505
36,10,Supp,415.7942673078208
36,10,Cal,47.305519256885304
36,10,mCal,12.107641212819294
36,10,Flex,16.349649780135586
36,25,BS,8.370051691241255
36,25,Rag,8.661342838862483
36,25,Supp,1756.8812501268408
36,25,Cal,19.30466623471821
36,25,mCal,7.777324823416137
36,25,Flex,8.2222430222464
37,5,BS,27.390659245797707
37,5,Rag,51.42428356614052
37,5,Supp,474.11680109937294
37,5,Cal,98.20593714793766
37,5,mCal,20.466303856447535
37,5,Flex,25.37883761798287
37,10,BS,16.01811527092848
37,10,Rag,17.747371147432045
37,10,Supp,443.5269830683746
37,10,Cal,48.188525320314284
37,10,mCal,12.66912798734384
37,10,Flex,17.37412786165579
37,25,BS,8.495551844351487
37,25,Rag,8.686097451398734
37,25,Supp,4973.009319067232
37,25,Cal,18.768926188438893
37,25,mCal,7.895412773790098
37,25,Flex,8.12827581021258
38,5,BS,31.29741347517454
38,5,Rag,53.35931286686222
38,5,Supp,482.5953411528946
38,5,Cal,100.46880994447734
38,5,mCal,21.81416268036589
38,5,Flex,26.526842263710403
38,10,BS,16.089794247918217
38,10,Rag,18.69490482258897
38,10,Supp,395.65407245483334
38,10,Cal,48.036030479871386
38,10,mCal,12.411246747596504
38,10,Flex,17.54766631592046
38,25,BS,7.9836669533691245
38,25,Rag,8.26073224791351
38,25,Supp,3941.1761228861874
38,25,Cal,19.001309871906393
38,25,mCal,7.407997339904936
38,25,Flex,7.74726278292454
39,5,BS,26.017427175320012
39,5,Rag,49.69307226221123
39,5,Supp,454.5597274876315
39,5,Cal,96.63266406962059
39,5,mCal,20.303657461027576
39,5,Flex,25.208166244167394
39,10,BS,16.06188465148111
39,10,Rag,16.86765443462449
39,10,Supp,429.6650209559297
39,10,Cal,46.53846517358554
