rep,n,method,rmse
22,10,BS,12.462358558025976
22,10,Rag,15.960757410143756
22,10,Supp,130.7237776412744
22,10,Cal,20.38729090055414
22,10,mCal,10.64540897756383
22,10,Flex,11.430621137146932
22,25,BS,7.44090059813643
22,25,Rag,11.441838224584172
22,25,Supp,2078.25186197616
22,25,Cal,8.529264664059424
22,25,mCal,7.188617614253359
22,25,Flex,6.54252275856012
23,5,BS,23.561547038846005
23,5,Rag,24.670550091939006
23,5,Supp,140.04040492116243
23,5,Cal,40.80863546880205
23,5,mCal,16.828470010582148
23,5,Flex,20.325637970869156
23,10,BS,13.455005260209939
23,10,Rag,17.58049169760445
23,10,Supp,122.0885097416058
23,10,Cal,21.40950921208541
23,10,mCal,11.036468211834935
23,10,Flex,12.934971454744801
23,25,BS,6.135589556178746
23,25,Rag,8.599239694789375
23,25,Supp,300.54382335767343
23,25,Cal,8.083107096243536
23,25,mCal,5.9192692385758106
23,25,Flex,5.422888898045099
24,5,BS,23.891145602531772
24,5,Rag,32.25662647765221
24,5,Supp,135.37995250801723
24,5,Cal,44.08573181967524
24,5,mCal,17.727821331863964
24,5,Flex,21.665444504036085
24,10,BS,12.783686368837618
24,10,Rag,20.494029710299962
24,10,Supp,107.1320753805673
24,10,Cal,20.698664617094032
24,10,mCal,10.771454274816737
24,10,Flex,12.043883347469617
24,25,BS,6.843096357893966
24,25,Rag,10.134962567327229
24,25,Supp,4683.39791767887
24,25,Cal,8.442649016009122
24,25,mCal,6.661820277711905
24,25,Flex,6.106517445219563
25,5,BS,25.654206206605433
25,5,Rag,33.58306435132966
25,5,Supp,139.47660240485484
25,5,Cal,43.74692637308862
25,5,mCal,18.801813998460574
25,5,Flex,22.426757803835855
25,10,BS,13.16032921288705
25,10,Rag,19.123241376715914
25,10,Supp,105.83368889985103
25,10,Cal,20.16987892391766
25,10,mCal,11.114629618255325
25,10,Flex,11.841984124117907
25,25,BS,6.999820592651436
25,25,Rag,10.037041587154695
25,25,Supp,1397.8965116827105
25,25,Cal,8.645697845210522
25,25,mCal,6.677990716460552
25,25,Flex,6.472636224462033
26,5,BS,22.553151162829323
26,5,Rag,27.178026414497396
26,5,Supp,132.37757862753838
26,5,Cal,40.94891331268368
26,5,mCal,15.845370445584564
26,5,Flex,19.402309606812782
26,10,BS,12.864061179089221
26,10,Rag,15.71011779466652
26,10,Supp,137.08834491163066
26,10,Cal,21.171188003113436
26,10,mCal,11.235183703981459
26,10,Flex,12.392163657165195
26,25,BS,6.920189595105787
26,25,Rag,11.121419570124996
26,25,Supp,5043.043946871575
26,25,Cal,8.865167873400887
26,25,mCal,6.693156891630307
26,25,Flex,6.352631275559256
27,5,BS,25.918564824094165
27,5,Rag,29.046561795001747
27,5,Supp,148.92683880431568
27,5,Cal,41.733411909807764
27,5,mCal,18.029536925367584
27,5,Flex,21.431218796230073
27,10,BS,13.536876725009739
27,10,Rag,20.777173637318096
27,10,Supp,105.51043262518719
27,10,Cal,20.905556610407803
27,10,mCal,10.794853786333649
27,10,Flex,12.4471307977063
27,25,BS,6.756373282666662
27,25,Rag,12.272171566674011
27,25,Supp,2825.2492352620666
27,25,Cal,8.758149212054875
27,25,mCal,6.315344569026051
27,25,Flex,6.233691829268311
28,5,BS,25.950531854715425
28,5,Rag,26.544165900638177
28,5,Supp,150.56020925473456
28,5,Cal,41.22716431510248
28,5,mCal,17.590044326390103
28,5,Flex,19.967255710074028
28,10,BS,13.231527887851053
28,10,Rag,17.39480679109335
28,10,Supp,151.13434970757586
28,10,Cal,20.19084084613502
28,10,mCal,11.120610035688163
28,10,Flex,12.358440170808608
28,25,BS,7.133011100905147
28,25,Rag,10.323100503468766
28,25,Supp,2187.4999581366274
28,25,Cal,8.696380152217204
28,25,mCal,6.955523478720621
28,25,Flex,6.487180067416277
29,5,BS,24.700347642651224
29,5,Rag,26.294253338476288
29,5,Supp,126.82104080503504
29,5,Cal,39.79644165325446
29,5,mCal,18.07041944114225
29,5,Flex,20.885730299905504
29,10,BS,14.188371489919904
29,10,Rag,22.833317935625573
29,10,Supp,116.66209926935097
29,10,Cal,20.807057102689143
29,10,mCal,11.272585171238656
29,10,Flex,12.68579668117236
29,25,BS,6.829381073203158
29,25,Rag,10.665575974622975
29,25,Supp,1860.5942537882356
29,25,Cal,8.704798269459578
29,25,mCal,6.500746182324089
29,25,Flex,6.342914369243955
30,5,BS,24.047552905677584
30,5,Rag,29.509688417577326
30,5,Supp,133.80902511645968
30,5,Cal,41.228939020360066
30,5,mCal,17.733180532904555
30,5,Flex,21.400356424014486
30,10,BS,13.534705266406949
30,10,Rag,17.79181849097578
30,10,Supp,137.30477071775968
30,10,Cal,20.197677789566786
30,10,mCal,11.630580320669376
30,10,Flex,12.321898013956943
30,25,BS,6.880753175125556
30,25,Rag,10.810627807772175
30,25,Supp,1348.6440909801645
30,25,Cal,8.525800542034181
30,25,mCal,6.599622240161879
30,25,Flex,6.202370774528957
31,5,BS,23.744826387505707
31,5,Rag,27.592335441179504
31,5,Supp,145.41510847376892
31,5,Cal,41.586834415444216
31,5,mCal,16.949785043620285
31,5,Flex,20.06524436241975
31,10,BS,13.063679423269004
31,10,Rag,16.60185287318716
31,10,Supp,111.99816710680984
31,10,Cal,20.557113980435272
31,10,mCal,11.16170328485207
31,10,Flex,12.311228063549294
31,25,BS,6.04255748425301
31,25,Rag,8.30120722987876
31,25,Supp,1209.7264072543578
