rep,n,bin,method,bias,variance,rmse,binlabel,pop
55,5,3,BS,0.014898607223241942,0.1159901431172112,0.34089897567227107,100000-1000000,AFR
55,5,3,Rag,0.026866227033476277,0.09244252167598756,0.30522830116324706,100000-1000000,AFR
55,5,3,Supp,0.340355444808318,1.606275833444226,1.312294807676573,100000-1000000,AFR
55,5,3,Cal,0.10301117313205792,0.04241869765932022,0.2302824340877155,100000-1000000,AFR
55,5,3,mCal,0.00592019128499819,0.052340912587537335,0.22885794994360215,100000-1000000,AFR
55,5,3,Flex,0.00456396361494684,0.06240902589663561,0.24985967193709788,100000-1000000,AFR
55,10,0,Samp,0.053766300639196504,0.028403638158683388,0.17690238337316955,0-1000,AFR
55,10,0,BS,-0.02516937407826736,0.03497738363245397,0.18870845509395104,0-1000,AFR
55,10,0,Rag,0.002855953676107212,0.11759434896915148,0.3429322169766958,0-1000,AFR
55,10,0,Supp,0.005326401084822687,2.103819698647393,1.4504647769580306,0-1000,AFR
55,10,0,Cal,-0.011007247746826486,0.025728668782459573,0.1607788179003055,0-1000,AFR
55,10,0,mCal,-0.04180511946916041,0.027966158546544394,0.17237698964877873,0-1000,AFR
55,10,0,Flex,-0.026354673439183803,0.0320488404069289,0.18095140015765263,0-1000,AFR
55,10,1,Samp,0.08534571871024924,0.031205520860904983,0.1961871875609464,1000-10000,AFR
55,10,1,BS,-0.014059907360826145,0.039283105913599896,0.19869772748724357,1000-10000,AFR
55,10,1,Rag,-0.0057200880649789536,0.05491787843961454,0.23441543858518715,1000-10000,AFR
55,10,1,Supp,0.02476986388504327,3.045231282715341,1.7452348921770457,1000-10000,AFR
55,10,1,Cal,0.008073893259455026,0.025742623664906837,0.1606480980817137,1000-10000,AFR
55,10,1,mCal,-0.030374660136014454,0.027779689500206324,0.16941755953437856,1000-10000,AFR
55,10,1,Flex,-0.018219616140433655,0.0337429232926855,0.18459381816569656,1000-10000,AFR
55,10,2,Samp,0.09662915017410072,0.024556152999271396,0.18410145480859272,10000-100000,AFR
55,10,2,BS,-0.013699550337348041,0.031175685441798797,0.17709704436055484,10000-100000,AFR
55,10,2,Rag,-0.0056702887651493075,0.02749173592391533,0.16590324921048263,10000-100000,AFR
55,10,2,Supp,0.03696218475890934,1.9706848337401497,1.404297346306081,10000-100000,AFR
55,10,2,Cal,0.030422720950039193,0.018235953086492836,0.1384250520552432,10000-100000,AFR
55,10,2,mCal,-0.011809096511164944,0.019821564054843154,0.14128346971692463,10000-100000,AFR
55,10,2,Flex,-0.00838509506137787,0.023762652623698456,0.15437928113217395,10000-100000,AFR
55,10,3,Samp,0.11322032305513637,0.024011226652711885,0.1919116156083871,100000-1000000,AFR
55,10,3,BS,0.0027479025363051916,0.03039615635034075,0.17436658888299036,100000-1000000,AFR
55,10,3,Rag,0.00810498576604263,0.02353125300835201,0.15361296756009812,100000-1000000,AFR
55,10,3,Supp,0.03792521405146981,2.3865437422750975,1.5453096984539854,100000-1000000,AFR
55,10,3,Cal,0.04608131031295974,0.015450024405720048,0.13256512198115813,100000-1000000,AFR
55,10,3,mCal,0.0035130957635012513,0.016732463997628455,0.12940172270673983,100000-1000000,AFR
55,10,3,Flex,0.007384762946613602,0.02104956027750557,0.1452724853552222,100000-1000000,AFR
55,25,0,Samp,0.015807217456900724,0.008322804153608648,0.09258872651321215,0-1000,AFR
55,25,0,BS,-0.015363222979088773,0.00907326218283186,0.09648466615549364,0-1000,AFR
55,25,0,Rag,-0.011125653276432374,0.03423221560812337,0.18535370449211624,0-1000,AFR
55,25,0,Supp,0.06903425185907534,81.78098194533952,9.043547294799163,0-1000,AFR
55,25,0,Cal,-0.015410076580676843,0.007220883595441917,0.08636176269428641,0-1000,AFR
55,25,0,mCal,-0.028638702057238355,0.0075260732891154584,0.09135780505593775,0-1000,AFR
55,25,0,Flex,-0.015432696903786507,0.008193547826989894,0.09182437563476288,0-1000,AFR
55,25,1,Samp,0.021834674626083874,0.010129370249361077,0.10298603432207704,1000-10000,AFR
55,25,1,BS,-0.015231962069300291,0.010884267795052197,0.10543377287915291,1000-10000,AFR
55,25,1,Rag,-0.01046662240114399,0.021566562140601916,0.14722809624894986,1000-10000,AFR
55,25,1,Supp,-7.515308398810561,62355.05167312658,249.82300040920134,1000-10000,AFR
55,25,1,Cal,-0.012032896583970444,0.008688811804694233,0.09398724596930565,1000-10000,AFR
55,25,1,mCal,-0.02812334429867808,0.00888789268757584,0.09838096961362917,1000-10000,AFR
55,25,1,Flex,-0.017095387326139164,0.010063702651673995,0.10176421237107235,1000-10000,AFR
55,25,2,Samp,0.03902802610479585,0.006398627907190992,0.08900457701055389,10000-100000,AFR
55,25,2,BS,-0.0018454218813367333,0.006955828408521257,0.08342202341373274,10000-100000,AFR
55,25,2,Rag,-0.001054098351683189,0.006853313353793821,0.08279145171531202,10000-100000,AFR
55,25,2,Supp,0.21535019060521265,9.18411901626208,3.0381729247782756,10000-100000,AFR
55,25,2,Cal,0.011809549934816277,0.0044109894548783,0.06745705985692838,10000-100000,AFR
55,25,2,mCal,-0.005875186121869862,0.004562980825457787,0.06780485703417123,10000-100000,AFR
55,25,2,Flex,0.0007984132933034309,0.005323837405333133,0.07296899937041795,10000-100000,AFR
55,25,3,Samp,0.04044278326933014,0.003682011600978568,0.07292208389471996,100000-1000000,AFR
55,25,3,BS,-0.0011377642085149229,0.0040107639394653125,0.06334081185822842,100000-1000000,AFR
55,25,3,Rag,-0.0018329737478962444,0.0029601733096533004,0.054438342208536966,100000-1000000,AFR
55,25,3,Supp,0.29654207642275776,23.580147857209138,4.864985617686681,100000-1000000,AFR
55,25,3,Cal,0.01645831817936225,0.002295123715190912,0.05065570009864673,100000-1000000,AFR
55,25,3,mCal,-0.001248763819453299,0.002422053135003381,0.04923019953321494,100000-1000000,AFR
55,25,3,Flex,0.0040228490944985975,0.0029072846313902244,0.05406910343465418,100000-1000000,AFR
56,5,0,Samp,0.1378653850838556,0.06371407616281446,0.2876124833297996,0-1000,AFR
56,5,0,BS,-0.03139353167729336,0.10453530667158858,0.3248397458790439,0-1000,AFR
56,5,0,Rag,-0.03557181246735738,0.18043200352798167,0.42625972994196215,0-1000,AFR
56,5,0,Supp,0.2075614580873744,1.183216327971562,1.1073834416564656,0-1000,AFR
56,5,0,Cal,0.008540014980372856,0.05165136899677579,0.22742977125398686,0-1000,AFR
56,5,0,mCal,-0.05975994574525493,0.06373394486706839,0.2594324497485698,0-1000,AFR
56,5,0,Flex,-0.04752569089760879,0.07243582487237774,0.273302975043582,0-1000,AFR
56,5,1,Samp,0.21691196994581635,0.08021813273989852,0.3567477196082313,1000-10000,AFR
