rep,n,bin,method,bias,variance,rmse,binlabel
21,16,2,std,0.061469901027285556,0.013733248328971537,0.132332146741734,10000-100000
21,16,3,std,0.06314294272410305,0.008879372454675611,0.11343017090058082,100000-1000000
21,26,0,std,0.022566382200882133,0.011528948662353726,0.10971868695892244,0-1000
21,26,1,std,0.037892698619587696,0.013383860583666116,0.12173626079497028,1000-10000
21,26,2,std,0.0329211509938041,0.005301043949092841,0.07990523219320303,10000-100000
21,26,3,std,0.039644682862406785,0.0035876252281757904,0.07182844915099171,100000-1000000
22,16,0,std,0.03233579494216192,0.01858860952932762,0.14012213659471925,0-1000
22,16,1,std,0.0398253290476199,0.01786946239070125,0.1394830427846068,1000-10000
22,16,2,std,0.061253106201317374,0.012694824602847805,0.12824495164394453,10000-100000
22,16,3,std,0.07215681159976527,0.011735553453705073,0.13016204866991413,100000-1000000
22,26,0,std,0.035614643656018304,0.010669858935257908,0.10926235297669126,0-1000
22,26,1,std,0.045821939552921756,0.013859235186533526,0.12632848186741238,1000-10000
22,26,2,std,0.04986252530972463,0.008203014043727778,0.10338900073987903,10000-100000
22,26,3,std,0.04234446468135326,0.0041265070458881645,0.07693868165648887,100000-1000000
23,16,0,std,0.032189349200739896,0.016355614171161822,0.13187785399045965,0-1000
23,16,1,std,0.0549017007382153,0.018995175201654852,0.14835555920019783,1000-10000
23,16,2,std,0.06425006658826563,0.014094813134126286,0.13499216344189338,10000-100000
23,16,3,std,0.06761260538490926,0.009941765315786628,0.12047086669698234,100000-1000000
23,26,0,std,0.026546029315921704,0.012812472747265236,0.11626334082464261,0-1000
23,26,1,std,0.038507017933505985,0.010479836704394861,0.10937379546548713,1000-10000
23,26,2,std,0.05102807457219026,0.009099757959984595,0.10818328130783243,10000-100000
23,26,3,std,0.038708766169644436,0.003580227316195664,0.07126426800698842,100000-1000000
24,16,0,std,0.03496579326639622,0.01641548531325947,0.1328084786902095,0-1000
24,16,1,std,0.048577095517795384,0.019626653173200875,0.14827807451591044,1000-10000
24,16,2,std,0.06523870491046224,0.013310728198950541,0.13253986878424512,10000-100000
24,16,3,std,0.07831122855827508,0.010885992498424231,0.1304555135543555,100000-1000000
24,26,0,std,0.0287809495976475,0.01228719077983977,0.11452307121092281,0-1000
24,26,1,std,0.033683940546238654,0.009494546966091104,0.10309779249243722,1000-10000
24,26,2,std,0.04378498573842148,0.006782766589040896,0.09327320925729246,10000-100000
24,26,3,std,0.039171560535952527,0.0033974119123531318,0.07022693975373642,100000-1000000
25,16,0,std,0.027939298076119026,0.014831846729624426,0.12494979434401104,0-1000
25,16,1,std,0.049493685152143224,0.017938875183558793,0.1427883050305531,1000-10000
25,16,2,std,0.07984718615075402,0.01553855139268837,0.14803420053785388,10000-100000
